vin	V(vout)
Step Information: Rd=10K  (Step: 1/4)
3.189999999999976e+00	1.017467e+00
3.199999999999976e+00	1.013126e+00
3.209999999999976e+00	1.008831e+00
3.219999999999975e+00	1.004582e+00
3.229999999999975e+00	1.000376e+00
3.239999999999975e+00	9.962140e-01
3.249999999999975e+00	9.920946e-01
3.259999999999974e+00	9.880171e-01
3.269999999999974e+00	9.839807e-01
3.279999999999974e+00	9.799848e-01
3.289999999999974e+00	9.760285e-01
3.299999999999974e+00	9.721112e-01
3.309999999999973e+00	9.682323e-01
3.319999999999973e+00	9.643909e-01
3.329999999999973e+00	9.605867e-01
3.339999999999973e+00	9.568188e-01
3.349999999999973e+00	9.530867e-01
3.359999999999972e+00	9.493897e-01
3.369999999999972e+00	9.457274e-01
3.379999999999972e+00	9.420991e-01
3.389999999999972e+00	9.385043e-01
3.399999999999971e+00	9.349424e-01
3.409999999999971e+00	9.314130e-01
3.419999999999971e+00	9.279155e-01
3.429999999999971e+00	9.244493e-01
3.439999999999971e+00	9.210141e-01
3.449999999999970e+00	9.176093e-01
3.459999999999970e+00	9.142345e-01
3.469999999999970e+00	9.108892e-01
3.479999999999970e+00	9.075730e-01
3.489999999999970e+00	9.042854e-01
3.499999999999969e+00	9.010260e-01
3.509999999999969e+00	8.977944e-01
3.519999999999969e+00	8.945901e-01
3.529999999999969e+00	8.914129e-01
3.539999999999969e+00	8.882622e-01
3.549999999999968e+00	8.851377e-01
3.559999999999968e+00	8.820391e-01
3.569999999999968e+00	8.789659e-01
3.579999999999968e+00	8.759179e-01
3.589999999999967e+00	8.728945e-01
3.599999999999967e+00	8.698956e-01
3.609999999999967e+00	8.669208e-01
3.619999999999967e+00	8.639696e-01
3.629999999999967e+00	8.610420e-01
3.639999999999966e+00	8.581374e-01
3.649999999999966e+00	8.552556e-01
3.659999999999966e+00	8.523963e-01
3.669999999999966e+00	8.495592e-01
3.679999999999966e+00	8.467439e-01
3.689999999999965e+00	8.439503e-01
3.699999999999965e+00	8.411781e-01
3.709999999999965e+00	8.384268e-01
3.719999999999965e+00	8.356963e-01
3.729999999999964e+00	8.329864e-01
3.739999999999964e+00	8.302967e-01
3.749999999999964e+00	8.276269e-01
3.759999999999964e+00	8.249770e-01
3.769999999999964e+00	8.223465e-01
3.779999999999963e+00	8.197353e-01
3.789999999999963e+00	8.171431e-01
3.799999999999963e+00	8.145697e-01
3.809999999999963e+00	8.120148e-01
3.819999999999963e+00	8.094783e-01
3.829999999999962e+00	8.069599e-01
3.839999999999962e+00	8.044593e-01
3.849999999999962e+00	8.019765e-01
3.859999999999962e+00	7.995111e-01
3.869999999999961e+00	7.970629e-01
3.879999999999961e+00	7.946318e-01
3.889999999999961e+00	7.922177e-01
3.899999999999961e+00	7.898201e-01
3.909999999999961e+00	7.874390e-01
3.919999999999960e+00	7.850742e-01
3.929999999999960e+00	7.827255e-01
3.939999999999960e+00	7.803926e-01
3.949999999999960e+00	7.780756e-01
3.959999999999960e+00	7.757741e-01
3.969999999999959e+00	7.734879e-01
3.979999999999959e+00	7.712170e-01
3.989999999999959e+00	7.689611e-01
4.000000000000000e+00	7.667201e-01
Step Information: Rd=20K  (Step: 2/4)
0.000000000000000e+00	4.000000e+00
1.000000000000000e-02	4.000000e+00
2.000000000000000e-02	4.000000e+00
3.000000000000000e-02	4.000000e+00
4.000000000000000e-02	4.000000e+00
5.000000000000000e-02	4.000000e+00
6.000000000000000e-02	4.000000e+00
7.000000000000001e-02	4.000000e+00
8.000000000000000e-02	4.000000e+00
9.000000000000000e-02	4.000000e+00
9.999999999999999e-02	4.000000e+00
1.100000000000000e-01	4.000000e+00
1.200000000000000e-01	4.000000e+00
1.300000000000000e-01	4.000000e+00
1.400000000000000e-01	4.000000e+00
